,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T15000logg2.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T15000logg2.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T15000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T15000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T15000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T15000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg2.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg2.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T16000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg2.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T17000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg2.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T18000logg3.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T19000logg3.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg2.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg3.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T20000logg3.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg3.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg3.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T21000logg3.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg2.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg3.4,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg3.6,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg3.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T22000logg4.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T23000logg2.8,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T23000logg3.0,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
T23000logg3.2,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574,17574
